title~views~uptime_y~uptime_m~uptime_d~link
Masha and the Bear 2023 =F0=9F=92=A5 The Foundling =F0=9F=90=A7 30 min =E2=8F=B0 =D0=A1artoon collection =F0=9F=8E=AC~1,701,017~0~6~182~https://www.youtube.com/watch?v=3DWo8ultiWSlU
NEW EPISODE =F0=9F=8C=8D Around the world in one day =F0=9F=97=BA=EF=B8=8F (Episode 77) =F0=9F=8C=8D Masha and the Bear 2023~3,770,751~0~6~182~https://www.youtube.com/watch?v=3DSeAY6KzhAgE
Masha and the Bear 2023 =F0=9F=8C=8D Around the world in one day =F0=9F=97=BA=EF=B8=8F (Trailer) New episode coming on April 21! =F0=9F=8E=AC~773,988~0~6~182~https://www.youtube.com/watch?v=3Ddzai_p04Cao
Masha and the Bear Shorties =F0=9F=91=A7=F0=9F=90=BB NEW STORY =E2=9C=A8 March =E2=98=80=EF=B8=8F=F0=9F=AA=84 (Episode 30) =F0=9F=94=94~1,181,121~0~7~212~https://www.youtube.com/watch?v=3D65hm_W8YqoY
Masha and the Bear 2023 =F0=9F=A4=97 My feelings for you =F0=9F=92=9E=F0=9F=92=95  Best episodes cartoon collection =F0=9F=8E=AC~1,717,771~0~7~212~https://www.youtube.com/watch?v=3DYMvt0jW_0vI
Masha and the Bear 2023 =F0=9F=93=9A Masha's Tales =F0=9F=93=9A The Fox and the Rolling Pin (Episode 22)~692,328~0~7~212~https://www.youtube.com/watch?v=3DJ2qAzGtNkpY
Masha and the Bear 2023 =F0=9F=90=87 Easter bunny, go outside! =F0=9F=8D=AB=F0=9F=90=A3 Best episodes cartoon collection =F0=9F=8E=AC~9,516,083~0~7~212~https://www.youtube.com/watch?v=3DEKu1rxNlEg0
Masha and the Bear 2023 =F0=9F=A4=97 Welcome to my family =F0=9F=90=BB=F0=9F=91=A7 1 hour =E2=8F=B0 =D0=A1artoon collection =F0=9F=8E=AC~6,103,631~0~7~212~https://www.youtube.com/watch?v=3DxY4grciYvl8
Masha and the Bear Shorties =F0=9F=91=A7=F0=9F=90=BB NEW STORY =F0=9F=9A=A6 Traffic rules (Episode 26) =F0=9F=94=94~2,298,031~0~7~212~https://www.youtube.com/watch?v=3D6PLmKa10Lwc
Masha and the Bear 2023 =F0=9F=90=BC Paw crew =F0=9F=90=A7 Best episodes cartoon collection =F0=9F=8E=AC~1,636,328~0~7~212~https://www.youtube.com/watch?v=3DwpGdmOdTEIQ
Masha and the Bear 2023 =F0=9F=92=A5 Game Over =F0=9F=95=B9=EF=B8=8F 30 min =E2=8F=B0 =D0=A1artoon collection =F0=9F=8E=AC~9,569,911~0~7~212~https://www.youtube.com/watch?v=3DARX5yy18A3c
Masha and the Bear =F0=9F=92=A5 NEW EPISODE 2023 =F0=9F=A4=96=F0=9F=8C=B8 The Secret of Mashuko =F0=9F=A4=96=F0=9F=8C=B8 (Masha's Songs, Episode 5)~9,556,119~0~7~212~https://www.youtube.com/watch?v=3D2QlxNxDRwSg
Masha and the Bear 2023 =F0=9F=A4=96=F0=9F=8C=B8 The Secret of Mashuko (Trailer) =F0=9F=A4=96=F0=9F=8C=B8 New episode coming on March 24! =F0=9F=8E=AC~1,170,212~0~7~212~https://www.youtube.com/watch?v=3DiWhG6-Yep8I
Masha and the Bear Shorties =F0=9F=91=A7=F0=9F=90=BB NEW STORY =F0=9F=91=BB=F0=9F=8E=AC Scary movie (Episode 18) =F0=9F=94=94~947,332~0~7~212~https://www.youtube.com/watch?v=3DrrlealLtNBQ
Masha and the Bear 2023 =F0=9F=93=9A Study tips =F0=9F=8E=92 Best episodes cartoon collection =F0=9F=8E=AC~1,393,473~0~8~243~https://www.youtube.com/watch?v=3DDVwOnHM6iSY
Masha and the Bear 2023 =F0=9F=8E=AC NEW EPISODE! =F0=9F=8E=AC Best cartoon collection =F0=9F=8C=B7=F0=9F=90=A7 The First Swallow~13,776,181~0~8~243~https://www.youtube.com/watch?v=3D0REz-Uq9Edg
Masha and the Bear 2023 =F0=9F=8E=B6 Seven Musical Notes =F0=9F=8E=B8 Songs from cartoons =F0=9F=8E=B5Quartet Plus =F0=9F=8E=BA=F0=9F=8E=BB~926,130~0~8~243~https://www.youtube.com/watch?v=3Drzl0DVNQx3I
Masha and the Bear 2023 =F0=9F=8E=AD I have many talents! =F0=9F=8E=B8=F0=9F=93=B7 Best episodes cartoon collection =F0=9F=8E=AC~3,607,948~0~8~243~https://www.youtube.com/watch?v=3D_mYvgi8s3-g
Masha and the Bear 2023 =E2=9C=A8 First step to upgrade =F0=9F=9A=B6 Best episodes cartoon collection =F0=9F=8E=AC~1,493,481~0~8~243~https://www.youtube.com/watch?v=3DA2qvffAz2Mc
Masha and the Bear 2023 =F0=9F=A4=94 Guess what?=E2=9D=93Best episodes cartoon collection =F0=9F=8E=AC~35,811,495~0~8~243~https://www.youtube.com/watch?v=3DtU8qilVYz3s
Masha and the Bear Shorties =F0=9F=91=A7=F0=9F=90=BB NEW STORY =F0=9F=91=80=F0=9F=92=8C February (Episode 28) =F0=9F=94=94~25,684,596~0~8~243~https://www.youtube.com/watch?v=3D-tl-Y5WXOV4
NEW EPISODE =F0=9F=8C=B7=F0=9F=90=A7 The First Swallow (Episode 82) =F0=9F=8C=B7=F0=9F=90=A7 Masha and the Bear 2023~4,997,557~0~8~243~https://www.youtube.com/watch?v=3DwWeGvu3os9Q
Masha and the Bear 2023 =F0=9F=8C=B7=F0=9F=90=A7 The First Swallow (Trailer) =F0=9F=8C=B7=F0=9F=90=A7 New episode coming on February 24! =F0=9F=8E=AC~1,460,535~0~8~243~https://www.youtube.com/watch?v=3Dd5QEZQJKEwc
NEW EPISODE =F0=9F=A7=A2=E2=9C=A8 Hat Trick (Episode 41) =F0=9F=A7=A2=E2=9C=A8 Masha and the Bear 2023~12,592,883~0~9~271~https://www.youtube.com/watch?v=3DtRan667WSCQ
Masha and the Bear 2023 =F0=9F=A7=A2=E2=9C=A8 Hat Trick (Trailer) =F0=9F=A7=A2=E2=9C=A8 New episode coming on February 17! =F0=9F=8E=AC~622,547~0~9~271~https://www.youtube.com/watch?v=3DKoTkJX39Wjk
Masha and the Bear Shorties =F0=9F=91=A7=F0=9F=90=BB NEW STORY =F0=9F=A4=97=F0=9F=92=96 Hugs (Episode 19) =F0=9F=94=94~721,991~0~9~271~https://www.youtube.com/watch?v=3DofdW8Kweu14
