title~views~since_upload~link
Beach Stereotypes | Dude Perfect~210,749,580~6 years ago 7 minutes, 15 seconds~https://www.youtube.com/watch?v=3DggR_SPwP6cw
Fidget Spinner Trick Shots | Dude Perfect~180,938,787~6 years ago 6 minutes, 34 seconds~https://www.youtube.com/watch?v=3D3J6o7hcm8bE
Drew Brees Edition | Dude Perfect~27,978,616~6 years ago 6 minutes, 59 seconds~https://www.youtube.com/watch?v=3DtsEoLVBk_Ts
Real Life Trick Shots | Dude Perfect~247,966,133~6 years ago 5 minutes, 4 seconds~https://www.youtube.com/watch?v=3DA2FsgKoGD04
Giant Basketball Trick Shots | Dude Perfect~31,114,236~6 years ago 5 minutes, 54 seconds~https://www.youtube.com/watch?v=3D5_d-ON4ktkc
Stunt Driving Battle | Dude Perfect~65,347,829~6 years ago 7 minutes, 59 seconds~https://www.youtube.com/watch?v=3DHKuCPqUpp4s
Giant Sumo Battle | Dude Perfect~96,425,262~6 years ago 6 minutes, 57 seconds~https://www.youtube.com/watch?v=3Dth2T6rygqNU
Ping Pong Trick Shots 3 | Dude Perfect~321,000,064~6 years ago 7 minutes, 17 seconds~https://www.youtube.com/watch?v=3DUeG1ftTmLAg
Dude Perfect vs. Power Rangers~44,255,402~6 years ago 6 minutes, 23 seconds~https://www.youtube.com/watch?v=3DnhL3vSVlvFo
Virtual Reality Battle | Dude Perfect~51,439,243~6 years ago 6 minutes, 38 seconds~https://www.youtube.com/watch?v=3DevXDnRpgolc
Pool Trick Shots 2 |  Dude Perfect~84,400,856~6 years ago 6 minutes, 14 seconds~https://www.youtube.com/watch?v=3DofyyJWHnEPM
World Record Edition 2 | Dude Perfect~39,750,543~6 years ago 8 minutes, 53 seconds~https://www.youtube.com/watch?v=3DSOk-KVq-O1I
Epic Trick Shot Battle 3 | Dude Perfect~62,126,344~6 years ago 6 minutes, 55 seconds~https://www.youtube.com/watch?v=3DQWV3cEI-zoE
Dude Perfect Rewind 2016~12,002,946~6 years ago 7 minutes, 10 seconds~https://www.youtube.com/watch?v=3DkxgB2-ZpZeY
Editor Edition | Dude Perfect~29,528,445~6 years ago 8 minutes, 56 seconds~https://www.youtube.com/watch?v=3DxPxbrHMHgNE
Extreme Weather Golf Battle | Dude Perfect~43,631,381~6 years ago 7 minutes, 57 seconds~https://www.youtube.com/watch?v=3DYwabP6B_UkE
Flip Edition | Dude Perfect~172,073,849~6 years ago 5 minutes, 18 seconds~https://www.youtube.com/watch?v=3D8YydogFXCPM
Drone Hunting Battle | Dude Perfect~72,809,542~6 years ago 6 minutes, 58 seconds~https://www.youtube.com/watch?v=3DLAbXD3sx3fc
DPHQ2 Trick Shots | Dude Perfect~56,938,602~6 years ago 8 minutes, 3 seconds~https://www.youtube.com/watch?v=3D779akDPBNYc
Giant Warship Battle | Dude Perfect~111,190,251~7 years ago 6 minutes, 42 seconds~https://www.youtube.com/watch?v=3DrdfC6XwXTW0
Metal Detector Battle | Dude Perfect~67,494,130~7 years ago 10 minutes, 2 seconds~https://www.youtube.com/watch?v=3D09Z9tbJLkCE
Trampoline Charades Battle | Dude Perfect~37,456,193~7 years ago 7 minutes, 59 seconds~https://www.youtube.com/watch?v=3Dgpe4kNlRcmE
Giant Nerf Trick Shots | Dude Perfect~82,569,720~7 years ago 7 minutes, 57 seconds~https://www.youtube.com/watch?v=3D4o1PTcoZbKQ
Shotgun Trick Shots | Dude Perfect~57,771,166~7 years ago 6 minutes, 42 seconds~https://www.youtube.com/watch?v=3DdFLj3DeKT-E
Endless Ducker Battle | Dude Perfect~32,553,738~7 years ago 7 minutes, 54 seconds~https://www.youtube.com/watch?v=3DCAUO3YGvqnU
DP vs NFL Battle | Dude Perfect~38,591,434~7 years ago 7 minutes, 20 seconds~https://www.youtube.com/watch?v=3DjC9l0_NClrY
Water Bottle Flip Edition | Dude Perfect~123,552,496~7 years ago 7 minutes, 28 seconds~https://www.youtube.com/watch?v=3DP8V_bx0L4RY
Blitzball Trick Shots 2 | Dude Perfect~39,448,836~7 years ago 6 minutes, 56 seconds~https://www.youtube.com/watch?v=3DGq59egL20dg
Drone Racing Battle | Dude Perfect~23,597,835~7 years ago 8 minutes, 19 seconds~https://www.youtube.com/watch?v=3DxmEI_HZS64U
Tennis Trick Shots ft. Serena Williams | Dude Perfect~36,510,301~7 years ago 7 minutes, 42 seconds~https://www.youtube.com/watch?v=3DdzA8_7X9uLQ
World Record Edition | Dude Perfect~126,694,811~7 years ago 8 minutes, 11 seconds~https://www.youtube.com/watch?v=3Dgm2_6DX_0Bw
Lawnmower Racing Battle | Dude Perfect~40,009,267~7 years ago 5 minutes, 55 seconds~https://www.youtube.com/watch?v=3Dt3P1p6vF_CY
Giant Pictionary Battle | Dude Perfect~48,067,211~7 years ago 6 minutes, 57 seconds~https://www.youtube.com/watch?v=3Dt8I_GRa_h-o
Golf Trick Shots | Dude Perfect~27,751,753~7 years ago 7 minutes, 29 seconds~https://www.youtube.com/watch?v=3DnZbFkgGtdhw
Softball Stereotypes~83,391,079~7 years ago 7 minutes, 57 seconds~https://www.youtube.com/watch?v=3DUnTPrYdGdkg
